
Task: 1, Test Name: Validate Running Menu, DOM ID: LI__megamenusu__28, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Running Menu, DOM ID: LI__megamenusu__28, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Running Menu, DOM ID: LI__megamenusu__28, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Bar, DOM ID: DIV__customsear__41, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Bar, DOM ID: DIV__customsear__41, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate Search Bar, DOM ID: DIV__customsear__41, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Bar, DOM ID: DIV__customsear__41, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Bar, DOM ID: DIV__customsear__41, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Bar, DOM ID: DIV__customsear__41, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Bar, DOM ID: DIV__customsear__41, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Input, DOM ID: INPUTtext____42, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Input, DOM ID: INPUTtext____42, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate Search Input, DOM ID: INPUTtext____42, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Input, DOM ID: INPUTtext____42, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Input, DOM ID: INPUTtext____42, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Input, DOM ID: INPUTtext____42, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Search Input, DOM ID: INPUTtext____42, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Sort Drop Down, DOM ID: sort, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
